set,id,m,n,cmax,runtime,peak_kb
medium_instances.yaml,47,10,200,969,0.0027496814727783203,6.83984375
medium_instances.yaml,48,10,200,963,0.0008578300476074219,4.42578125
medium_instances.yaml,49,10,200,988,0.002468585968017578,6.83984375
medium_instances.yaml,50,10,200,1091,0.004176139831542969,10.85546875
medium_instances.yaml,51,10,200,936,0.0008566379547119141,4.42578125
medium_instances.yaml,52,10,200,974,0.0008883476257324219,4.42578125
medium_instances.yaml,53,10,200,920,0.004693746566772461,11.12109375
medium_instances.yaml,54,10,200,1016,0.002488374710083008,6.77734375
medium_instances.yaml,55,10,200,967,0.003221273422241211,6.77734375
medium_instances.yaml,56,10,200,930,0.00096893310546875,4.42578125
medium_instances.yaml,57,10,200,1014,0.004038810729980469,11.04296875
medium_instances.yaml,58,10,200,1026,0.004857063293457031,11.04296875
medium_instances.yaml,59,10,200,950,0.0031752586364746094,6.83984375
medium_instances.yaml,60,10,200,1001,0.003814220428466797,6.83984375
medium_instances.yaml,61,10,200,988,0.003040313720703125,6.76171875
medium_instances.yaml,62,10,200,983,0.001010894775390625,4.42578125
medium_instances.yaml,63,10,200,985,0.003100872039794922,6.77734375
medium_instances.yaml,64,10,200,1068,0.0048062801361083984,11.04296875
medium_instances.yaml,65,10,200,1033,0.0010094642639160156,4.42578125
medium_instances.yaml,66,10,200,1043,0.0030858516693115234,6.83984375
medium_instances.yaml,67,10,200,1063,0.002946615219116211,6.76171875
medium_instances.yaml,68,10,200,997,0.0037391185760498047,6.69921875
medium_instances.yaml,69,10,200,1008,0.0016436576843261719,4.42578125
medium_instances.yaml,70,10,200,1023,0.00932621955871582,11.04296875
medium_instances.yaml,71,10,200,1004,0.0038442611694335938,6.83984375
medium_instances.yaml,72,10,200,1016,0.0031409263610839844,6.74609375
medium_instances.yaml,73,10,200,992,0.002678394317626953,6.77734375
medium_instances.yaml,74,10,200,1032,0.005040884017944336,11.04296875
medium_instances.yaml,75,10,200,1051,0.003554821014404297,6.83984375
medium_instances.yaml,76,10,200,999,0.0009038448333740234,4.42578125
medium_instances.yaml,77,10,200,1101,0.0030095577239990234,6.83984375
medium_instances.yaml,78,10,200,976,0.002652406692504883,6.83984375
